state	rate	avgInc	fico
California	2542	85750	708
DC	2358	94951	703
Hawaii	2333	89139	723
NewYork	2221	83366	712
Massachusetts	2211	93021	723
NewJersey	1837	95025	714
Washington	1825	83060	723
Colorado	1751	83096	718
Maryland	1674	95327	704
Vermont	1668	73060	726
Florida	1620	68794	694
Virginia	1606	88830	709
NewHampshire	1591	86688	724
Illinois	1563	80573	709
Oregon	1559	73169	718
Alaska	1529	86756	707
Connecticut	1474	93156	717
RhodeIsland	1443	78073	713
Utah	1441	79994	716
Maine	1436	67854	715
Minnesota	1409	82470	733
Nevada	1380	70703	686
Arizona	1375	70804	696
Delaware	1373	78477	701
Georgia	1360	71713	682
Texas	1359	75791	680
Pennsylvania	1273	74849	713
Idaho	1271	66576	711
Montana	1268	64858	720
SouthCarolina	1245	65595	681
NorthCarolina	1211	68840	694
Michigan	1196	70694	706
Tennessee	1190	66317	690
NewMexico	1169	63952	686
Wisconsin	1115	72154	725
Louisiana	1110	65350	677
Wyoming	1105	73109	712
Nebraska	1062	72948	723
Ohio	1033	70430	705
Indiana	1031	68589	699
NorthDakota	1006	75424	727
Kentucky	1000	63854	692
Alabama	989	64686	680
Mississippi	986	60776	667
SouthDakota	968	68998	727
Missouri	945	69094	701
Kansas	944	72079	711
Iowa	941	72035	720
Oklahoma	894	66250	682
Arkansas	875	61757	683
WestVirginia	866	59999	687
