var1	va2	var3
785	543	1
810	390	2
691	587	1
933	352	2
860	348	2
380	560	0
348	440	0
450	402	0
358	433	0
473	506	0
1015	329	2
489	660	0
640	622	1
780	837	1
313	350	0
288	476	0
308	475	0
836	703	1
721	852	1
446	381	0
918	351	2
891	790	1
612	700	1
759	752	1
878	332	2
278	286	0
920	541	2
684	721	1
929	446	2
289	389	0
726	567	1
898	490	2
940	656	2
943	474	2
378	549	0
436	226	0
829	508	2
756	422	2
963	221	2
413	480	0
649	810	1
761	534	1
539	296	0
467	521	0
628	551	1
705	566	1
594	549	1
697	621	1
763	179	2
299	282	0
177	448	0
888	311	2
900	486	2
562	862	1
378	400	0
861	760	1
662	623	1
937	392	2
342	522	0
909	264	2
556	820	1
613	530	0
801	726	1
637	717	1
359	463	0
998	530	2
644	747	1
879	426	2
830	510	1
898	299	2
525	710	1
638	660	1
354	593	0
846	756	1
927	385	2
256	359	0
529	467	0
181	354	0
920	278	2
1078	440	2
893	475	2
456	516	0
899	438	2
859	385	2
901	394	2
535	358	0
522	447	0
985	575	2
584	595	1
617	555	1
1021	329	2
740	669	1
354	458	0
458	371	1
777	250	2
721	750	1
549	518	0
825	283	2
393	427	0
357	468	0
784	718	1
610	731	2
992	373	2
292	470	0
821	488	2
858	273	2
546	363	0
764	538	1
880	418	2
994	378	2
416	617	1
998	545	2
623	722	1
491	226	0
403	316	0
534	347	0
770	732	1
268	323	0
449	395	0
250	226	0
665	873	1
828	499	1
948	164	2
874	626	1
341	449	0
680	695	1
389	536	0
1058	439	2
380	479	0
567	793	1
780	648	1
515	492	0
483	429	0
877	542	2
696	517	1
931	462	2
758	622	1
691	727	1
748	812	1
839	703	1
775	554	2
818	680	1
280	437	0
624	365	0
1011	320	2
754	459	1
604	335	0
103	206	0
842	703	1
776	388	2
708	770	1
700	800	1
948	439	2
423	448	0
742	750	1
894	355	2
788	679	1
615	706	1
458	400	0
477	526	0
676	664	1
706	745	1
370	455	0
759	781	1
974	493	2
846	373	2
699	742	1
552	751	1
672	693	1
921	260	2
536	418	0
398	483	0
954	460	2
874	399	2
871	419	2
875	394	2
1018	308	2
224	395	0
339	397	0
352	366	0
719	737	1
828	466	2
871	403	2
374	362	0
402	400	0
1109	506	2
791	394	2
453	227	2
323	460	0
549	680	1
860	391	2
814	646	1
606	734	1
870	416	2
765	466	2
500	403	0
889	341	2
247	212	0
600	682	1
941	490	2
1016	479	2
761	807	1
310	419	0
862	461	2
851	742	1
585	819	1
673	599	1
975	149	2
275	444	0
766	608	1
730	624	1
725	661	1
805	507	0
333	216	0
564	455	0
528	451	0
310	544	0
801	698	1
625	642	1
242	435	0
1004	384	2
815	427	2
515	365	0
688	946	1
555	687	1
395	339	0
248	497	0
545	624	1
371	475	0
372	401	0
865	337	2
973	351	2
390	450	0
986	300	2
312	377	0
195	379	0
614	757	2
532	429	0
881	387	2
857	316	2
642	487	1
337	556	0
881	502	2
507	334	0
585	363	0
659	753	1
277	465	0
911	301	2
523	453	0
696	642	1
919	475	2
445	523	0
391	325	0
637	667	1
727	640	0
305	456	0
853	627	1
751	553	1
706	360	2
247	388	0
793	353	2
338	400	0
969	318	2
817	282	2
282	352	1
767	401	2
871	643	1
781	572	1
285	424	0
501	420	0
744	374	2
1022	387	2
636	684	1
441	292	0
796	240	2
207	412	0
790	451	2
754	585	1
389	431	0
471	444	0
986	568	2
232	336	0
900	343	2
809	403	2
818	244	2
747	348	2
853	283	2
964	306	2
972	285	2
263	237	0
570	332	0
989	538	2
814	776	1
371	347	0
712	357	2
785	693	1
855	753	1
639	748	1
435	496	0
635	900	1
308	465	0
622	583	1
747	687	1
892	311	2
215	326	1
181	498	0
628	734	1
939	699	1
1011	420	2
642	421	2
520	493	0
341	381	0
861	595	1
973	499	2
507	308	0
911	560	2
355	542	0
226	272	0
627	643	1
998	538	2
440	518	0
365	371	0
964	559	2
949	309	2
725	679	1
424	574	0
372	377	0
480	849	2
407	399	0
1079	471	2
321	376	0
504	682	1
844	255	2
990	319	2
1066	510	2
431	683	0
819	688	1
385	505	0
1019	451	2
660	644	1
704	643	1
936	286	2
567	782	1
511	554	0
987	247	2
343	444	0
473	360	0
884	511	2
1005	462	2
797	385	2
785	712	1
775	604	2
817	542	2
434	663	0
337	477	0
659	597	1
770	687	1
289	510	0
488	727	1
329	392	0
463	318	0
633	748	1
825	422	2
570	569	1
1144	515	0
381	309	0
1033	667	1
340	419	0
993	442	2
816	421	2
375	315	0
816	189	2
855	445	2
636	818	1
631	858	1
877	438	2
817	531	2
830	442	2
956	368	2
646	627	1
397	451	0
705	353	2
495	302	0
684	762	1
872	321	2
689	645	1
229	388	0
508	425	0
466	490	0
905	387	2
786	640	1
248	326	0
294	502	0
932	412	2
290	337	0
946	484	2
807	319	2
708	692	1
900	332	2
707	802	1
629	792	1
928	746	1
737	815	1
713	735	1
672	721	1
475	289	0
960	515	2
778	676	1
714	631	1
349	457	0
614	353	2
355	395	0
306	385	0
377	418	0
422	510	0
473	531	0
336	231	0
634	669	1
379	460	0
800	639	1
660	733	1
627	792	1
425	396	0
636	629	1
961	359	2
671	655	1
465	451	0
384	300	0
771	679	1
618	647	2
379	233	0
883	382	2
699	791	1
742	728	1
636	693	1
685	682	1
548	667	1
679	731	1
1012	270	2
829	581	2
689	552	1
969	449	2
626	754	1
804	567	1
653	508	2
1015	531	2
426	385	0
853	822	1
430	560	0
1014	458	2
361	568	0
568	698	1
355	342	0
305	365	0
878	514	2
933	346	2
729	633	1
711	650	1
842	402	2
972	398	2
889	446	2
802	324	2
413	428	0
859	545	2
286	326	0
109	558	0
494	558	0
278	176	0
968	316	2
304	447	0
257	369	0
825	519	2
403	380	0
436	317	0
896	625	2
748	479	2
598	874	1
291	561	0
836	367	2
728	408	2
422	489	0
312	415	0
304	233	0
301	518	0
591	412	0
299	343	0
924	503	2
963	341	2
257	360	0
572	718	1
293	547	0
766	630	1
630	674	1
816	369	2
494	361	0
488	540	0
538	519	1
869	411	2
506	389	0
803	459	2
650	601	1
225	398	0
721	713	1
479	437	0
426	333	0
417	262	0
574	580	0
657	862	1
420	386	0
473	559	1
578	324	0
245	521	0
1021	305	2
941	519	2
491	433	0
371	441	0
713	681	1
540	504	1
1098	425	2
847	358	2
389	426	0
388	403	0
630	670	1
808	667	1
389	606	0
477	475	0
1001	297	2
349	380	0
751	594	1
761	868	1
801	582	1
609	629	1
662	510	1
971	395	2
797	596	1
983	321	2
798	484	1
792	275	2
776	727	1
305	456	0
861	413	2
465	495	0
293	384	0
785	472	2
1066	537	2
939	516	2
767	681	1
814	363	2
881	724	1
911	410	2
348	347	0
334	495	0
912	474	2
1009	248	2
738	750	1
635	391	0
667	363	0
516	464	0
914	396	2
282	306	0
814	805	2
856	432	2
717	759	1
489	270	0
763	758	1
235	407	0
1055	252	2
606	522	1
728	631	1
916	432	2
440	346	0
978	416	2
655	623	1
440	333	0
608	725	1
272	236	0
366	383	0
903	650	2
807	654	1
519	562	0
750	446	2
918	303	2
822	485	2
891	701	1
153	479	0
474	278	0
467	365	0
860	270	2
1001	423	2
367	337	0
389	487	0
925	726	1
394	369	0
796	619	1
435	545	0
949	591	2
958	403	2
948	575	2
497	397	0
465	395	0
859	454	2
831	451	1
832	374	2
470	350	0
465	494	0
931	492	2
432	351	0
616	759	1
559	414	0
344	423	0
918	442	2
352	329	0
586	533	0
612	593	1
904	400	2
839	371	2
801	768	1
735	360	2
694	810	1
460	327	0
848	849	1
402	558	0
951	404	2
730	744	1
960	440	2
447	399	0
418	500	0
683	799	1
739	712	1
1037	368	2
500	339	0
809	698	1
566	785	1
770	582	1
893	472	2
921	544	2
680	527	2
625	667	1
751	745	1
760	755	1
541	293	1
519	436	0
228	509	0
899	357	2
914	308	2
821	413	2
599	798	1
692	624	1
481	625	0
415	390	0
797	395	2
1031	509	2
692	835	1
810	342	1
826	330	2
872	465	2
985	500	2
842	378	2
415	471	1
780	635	1
782	476	1
612	728	1
998	349	2
355	293	0
441	461	0
871	350	2
1083	314	2
400	518	0
930	407	2
378	447	0
659	846	1
845	316	2
438	313	0
408	302	0
824	790	1
1034	428	2
614	641	1
995	441	2
448	373	0
685	594	1
442	408	0
397	331	0
950	283	2
764	482	2
977	500	2
213	435	0
509	410	0
899	427	2
457	370	0
1015	359	2
1016	338	2
375	215	0
747	673	0
349	369	0
909	286	2
446	471	0
387	580	0
744	482	1
961	435	2
408	357	0
824	361	2
558	297	0
764	386	2
471	398	0
341	421	0
638	821	1
533	827	1
816	527	2
862	624	1
417	398	0
983	367	2
662	776	1
948	342	2
860	407	2
622	810	1
793	735	1
917	453	2
689	749	0
760	180	2
804	454	2
363	282	0
858	367	2
