var1	va2	var3
629	738	1
939	330	2
489	479	0
807	696	1
828	495	2
900	502	2
243	340	0
367	383	0
524	293	0
408	384	0
386	384	0
814	483	2
413	442	0
560	483	0
758	433	2
1072	488	2
963	452	2
621	678	1
734	596	1
337	300	0
712	668	1
576	372	0
818	578	1
612	599	1
836	461	2
895	503	2
640	688	1
707	719	1
979	450	2
829	397	2
421	416	0
749	716	1
988	306	2
764	806	1
363	479	0
748	655	1
862	552	2
254	366	0
462	254	0
622	276	0
815	397	2
748	343	2
739	555	1
910	463	2
458	408	0
766	385	2
889	574	2
802	834	1
450	390	0
975	306	2
468	740	1
388	366	0
969	545	2
888	283	2
738	758	1
441	275	0
196	414	0
658	695	1
304	622	0
289	319	0
579	577	1
708	737	1
998	555	2
732	612	1
770	639	1
489	481	0
619	607	1
496	193	0
690	642	1
243	158	0
847	482	2
387	244	0
754	467	2
994	590	1
580	551	1
550	469	0
408	223	0
256	342	0
662	700	1
731	426	2
672	643	1
819	740	1
861	375	2
787	447	2
861	373	2
911	769	1
175	457	0
989	381	2
660	598	1
913	321	2
695	514	1
386	468	0
400	393	0
900	405	2
286	237	0
922	243	2
929	442	2
825	323	2
562	280	0
1082	573	2
958	410	2
876	262	2
481	595	0
874	647	1
917	326	2
542	250	0
368	202	0
591	573	0
919	513	2
539	744	1
729	698	1
453	455	0
899	448	2
675	726	1
924	322	2
773	607	1
377	421	0
844	498	2
639	756	1
931	327	2
384	433	0
348	469	0
654	702	1
729	341	2
467	290	0
942	327	2
572	414	0
276	501	0
976	486	2
930	452	2
674	865	1
525	513	0
930	426	2
677	784	1
774	493	2
677	652	1
623	710	1
951	417	2
754	719	1
689	512	1
491	269	0
790	655	1
667	516	1
1063	313	2
290	530	0
850	436	2
749	669	1
924	490	2
463	469	0
445	459	0
299	383	0
657	656	1
812	674	1
513	436	0
783	652	1
684	631	1
634	715	1
446	346	0
360	289	0
825	732	1
771	499	2
224	622	0
775	726	1
614	821	1
645	648	1
1063	316	2
657	679	1
923	375	2
272	390	0
982	203	2
865	695	1
472	339	0
257	318	0
944	467	2
763	830	1
557	852	1
880	678	1
740	690	1
686	956	1
822	778	1
729	420	2
909	301	2
811	608	1
1104	330	2
778	685	1
622	827	1
955	293	2
631	679	1
369	420	0
690	862	1
912	665	1
697	387	2
660	700	1
890	372	2
699	634	1
420	468	0
886	417	2
405	408	0
848	791	1
292	203	0
367	489	0
803	441	2
998	503	2
579	467	0
663	648	1
335	223	0
828	585	1
281	169	0
362	542	0
786	397	2
443	418	0
337	438	0
939	409	2
403	231	0
835	342	2
283	457	0
760	648	1
456	592	0
1021	412	2
1004	393	2
852	373	2
382	615	0
573	574	1
577	577	0
895	420	2
970	368	2
815	235	2
975	345	2
839	630	1
450	400	0
577	784	1
857	297	2
585	704	1
702	371	2
623	466	0
647	806	1
483	387	0
860	560	2
392	498	0
680	774	1
454	797	1
586	631	1
1011	295	2
439	323	0
714	843	1
338	363	0
771	350	2
904	460	2
957	307	2
482	293	0
734	516	1
383	644	0
474	500	0
832	294	2
407	394	0
387	523	0
485	596	0
570	563	1
641	707	1
439	451	0
588	342	0
585	639	1
842	449	2
416	239	0
267	480	0
825	601	1
618	797	1
713	594	1
933	325	2
441	585	0
1145	366	2
615	597	1
1058	609	2
289	395	0
642	860	1
851	927	1
766	917	1
711	810	1
688	541	1
697	638	1
1156	347	2
729	537	1
782	451	2
975	274	2
844	753	1
921	347	2
376	366	0
1036	383	2
820	894	1
896	325	2
969	998	1
966	767	1
629	873	1
717	718	1
538	747	1
683	637	1
389	505	0
880	448	2
370	337	0
608	711	1
606	673	1
799	415	2
424	480	0
284	291	0
621	810	1
849	392	2
935	419	2
969	450	2
349	284	0
697	712	1
527	724	1
224	443	0
824	292	2
967	359	2
725	747	1
459	240	0
972	388	2
478	399	0
740	570	1
393	607	0
685	776	1
368	463	0
992	410	2
806	754	1
825	365	2
531	396	0
936	464	2
624	494	1
881	410	2
557	213	0
890	645	1
992	568	2
223	337	0
636	631	1
355	426	0
966	574	2
841	350	2
803	641	2
785	846	1
331	512	2
790	600	1
456	388	0
973	597	2
619	737	1
795	813	1
882	599	2
