var1	var2	var3	var4	class
106	-133	102	124	0
125	-145	121	139	0
66	-150	137	130	0
48	-96	129	93	0
98	-164	56	70	0
147	-140	91	52	1
110	-137	141	92	0
81	-159	135	80	0
169	-131	136	62	1
183	-145	140	102	1
117	-67	53	100	1
88	-115	51	54	0
157	-104	81	73	1
157	-161	66	130	1
158	-87	115	93	1
123	-221	70	99	0
195	-144	138	135	1
79	-182	82	86	0
122	-155	129	146	0
153	-35	54	67	1
186	-140	128	78	1
141	-124	108	61	1
106	-195	109	128	0
146	-107	110	111	1
161	-40	138	72	1
104	-90	56	108	0
171	-156	95	121	1
110	-174	105	63	0
115	-26	137	53	1
136	-111	50	56	1
115	-148	98	139	0
99	-179	110	129	0
97	-70	65	50	0
163	-88	126	122	1
158	-70	148	105	1
165	-108	103	137	1
84	-124	67	65	0
173	-86	124	124	1
155	-90	90	142	1
109	-91	85	143	0
148	-132	81	126	1
124	-145	131	141	0
133	-88	73	87	1
102	-196	142	101	0
91	-173	63	84	0
82	-108	138	88	0
100	-122	62	128	0
123	-20	133	95	1
125	-46	73	121	1
98	-105	131	104	0
152	-142	51	110	1
103	-193	138	95	0
134	-58	85	117	1
57	-136	118	105	0
129	-124	71	112	1
137	-52	106	129	1
123	-99	148	50	1
74	-110	81	93	1
108	-105	56	131	0
126	-40	140	54	1
87	-82	97	73	0
125	-68	79	106	1
132	-81	106	61	1
125	-77	96	91	0
133	-119	138	103	1
165	-140	61	110	1
123	-97	70	144	1
165	-106	144	57	1
143	-130	101	57	0
107	-167	76	141	0
169	-118	77	66	0
113	-189	98	91	0
129	-103	85	100	1
160	-158	64	103	1
81	-90	76	120	0
134	-66	79	129	1
89	-198	66	83	0
134	-109	75	85	1
136	-88	91	91	1
153	-112	144	65	1
111	-154	115	118	0
177	-187	85	67	1
101	-178	75	92	0
100	-120	62	68	0
160	-97	145	93	1
127	-233	116	147	0
102	-145	53	89	0
107	-203	77	103	0
150	-66	60	115	1
175	-113	61	135	1
114	-53	123	140	1
101	-175	103	108	0
145	-95	115	50	1
146	-120	135	124	1
82	-68	139	100	0
66	-118	134	84	0
133	-156	95	103	0
119	-97	116	106	0
97	-179	54	123	0
130	-154	71	139	0
119	-116	130	129	1
142	-52	99	70	1
150	-111	69	51	1
107	-184	144	124	0
131	-95	142	82	1
127	-62	64	56	1
113	-173	92	114	0
130	-192	92	106	0
101	-124	50	80	0
157	-147	118	149	1
146	-116	93	69	1
137	-10	77	117	1
156	-105	79	62	1
89	-116	100	70	0
74	-168	145	93	0
148	-31	70	95	1
173	-92	87	74	1
177	-119	126	115	1
80	-132	112	88	0
92	-164	54	139	0
88	-132	108	104	0
145	-142	60	79	1
123	-173	100	108	0
150	-141	115	139	1
163	-140	68	128	1
104	-164	79	83	0
145	-55	82	144	1
157	-45	109	57	0
114	-109	84	101	1
136	-95	145	99	1
95	-171	115	125	0
148	-99	129	55	1
96	-94	65	99	0
152	-108	75	139	1
141	-81	139	136	1
116	-160	97	117	0
137	-178	116	136	1
161	-95	102	59	1
148	-121	118	79	1
151	-139	109	70	1
100	-107	97	94	0
132	-70	76	142	1
156	-73	101	55	1
124	-243	52	109	0
130	-96	69	101	1
83	-178	135	131	0
106	-139	92	74	0
145	-69	110	85	1
113	-68	141	92	1
154	-168	112	114	1
131	-182	84	101	0
160	-243	51	91	0
119	-106	147	52	1
140	-102	74	51	1
135	-177	102	50	0
124	-142	54	115	0
112	-133	81	140	0
167	-117	64	86	1
95	-108	144	94	0
82	-174	116	63	0
125	-197	103	102	0
92	-204	51	149	0
89	-170	65	83	0
68	-116	132	135	0
158	-79	55	136	1
138	-202	115	51	0
148	-92	128	78	1
162	-139	105	104	1
163	-131	115	112	1
68	-96	115	65	0
103	-106	129	134	0
91	-64	140	75	1
90	-113	123	119	0
158	-151	98	124	1
75	-91	95	50	0
161	-66	145	75	1
102	-168	142	98	0
161	-130	92	84	1
140	-75	86	50	1
145	-68	50	57	1
135	-19	116	59	1
164	-168	125	91	1
108	-142	123	73	0
105	-132	116	67	0
146	-76	102	96	1
154	-25	112	111	1
162	-133	98	136	1
113	-167	126	86	0
107	-124	106	131	0
97	-156	115	118	0
163	-127	79	119	1
167	-167	59	148	1
127	-73	96	59	1
162	-100	74	94	1
