var1	var2	var3	var4	class
146	-175	136	123	1
93	-121	78	65	0
151	-100	79	120	1
87	-173	97	77	0
100	-135	110	84	0
86	-126	126	53	0
170	-143	144	117	1
159	-138	124	146	1
94	-148	93	115	0
150	-104	76	105	1
92	-168	79	72	0
147	-220	134	89	0
115	-174	124	54	0
60	-94	109	54	0
55	-115	130	107	0
140	-112	59	123	1
87	-122	118	80	0
147	-222	135	98	0
107	-169	108	102	0
146	-98	58	62	1
108	-137	92	149	0
121	-72	51	142	1
137	-105	83	130	1
158	-149	143	63	1
144	-127	116	85	1
144	-82	105	76	1
123	-66	78	62	1
70	-135	89	110	0
136	-94	101	130	1
164	-94	86	81	1
157	-109	100	90	1
76	-107	132	87	0
148	-124	144	130	1
166	-90	92	60	1
153	-113	115	136	1
104	-137	124	68	0
199	-209	136	53	1
117	-190	61	125	0
159	-127	72	84	1
81	-152	94	69	0
95	-123	149	95	0
115	-129	74	88	0
127	-76	94	56	1
137	-124	74	68	1
143	-113	116	56	1
136	-125	54	124	1
145	-174	79	75	0
145	-126	69	94	1
132	-181	112	92	0
162	-97	104	83	1
139	-66	147	116	1
169	-119	85	134	1
107	-122	60	55	0
81	-63	81	66	0
98	-84	59	149	0
124	-113	139	54	0
114	-178	73	118	0
54	-100	138	124	1
106	-174	67	67	0
129	-207	123	94	0
115	-82	70	128	1
120	-72	144	123	1
167	-133	50	69	1
106	-183	117	128	0
143	-66	52	101	1
147	-147	96	78	0
88	-153	98	114	0
155	-157	134	148	1
112	-166	128	87	0
91	-134	92	82	0
164	-99	135	63	1
155	-116	66	96	1
133	-117	74	123	1
146	-101	134	145	1
102	-180	102	50	0
87	-79	105	117	0
104	7	110	87	1
117	-119	136	146	0
70	-136	66	133	0
128	-213	90	85	0
139	-74	95	87	1
76	-124	74	90	0
160	-70	74	87	1
119	-62	85	133	1
83	-160	69	69	0
109	-43	67	70	1
169	-96	127	107	1
147	-179	121	128	0
169	-126	104	75	1
118	-108	109	89	0
110	-109	71	120	0
127	-174	57	130	0
130	-86	138	70	1
91	-116	58	117	0
118	-139	107	79	0
163	-62	75	86	1
154	-148	83	98	1
114	-180	124	77	0
111	-191	119	132	0
67	-120	105	144	0
157	-69	120	119	1
83	-101	85	139	0
111	-143	141	114	0
127	-170	76	143	0
144	-86	101	130	1
129	-58	145	89	1
149	-52	89	57	0
173	-158	109	75	1
112	-140	53	90	0
93	-106	135	77	0
157	-78	108	122	1
116	-133	146	92	0
134	-194	55	59	0
100	-181	91	104	0
141	-82	60	90	1
152	-123	56	62	1
99	-138	114	120	0
98	-127	137	108	0
147	-101	122	84	1
94	-145	107	117	0
129	-90	57	59	1
90	-142	133	91	0
99	-171	54	67	0
157	-53	50	143	1
146	-134	125	123	1
100	-150	90	70	0
163	-129	133	67	1
154	-137	73	56	1
107	-98	131	125	0
109	-143	95	149	0
67	-163	116	143	0
143	-140	116	123	1
86	-122	123	82	0
127	-146	63	79	0
144	-33	60	118	1
105	-131	115	62	0
120	-124	86	67	1
94	-133	145	121	0
157	-80	90	125	1
105	-87	125	120	0
149	-87	130	100	1
148	-78	122	85	1
82	-156	127	85	0
117	-166	140	147	0
107	-121	130	79	0
150	-158	101	102	1
107	-69	98	66	1
120	-167	141	117	0
137	-64	63	120	1
85	-89	89	147	0
92	-188	71	68	0
107	-97	145	131	0
94	-134	107	58	0
141	-44	72	94	1
132	-56	69	94	1
158	-128	83	73	1
105	-139	62	132	0
92	-135	106	143	0
148	-91	77	52	1
146	-47	135	109	1
106	-120	58	96	0
60	-117	106	93	0
136	-183	51	91	0
142	-76	117	111	1
102	-146	72	74	0
153	-105	145	105	1
64	-132	129	103	0
96	-124	69	120	0
81	-177	71	111	0
