age	media	food	transport	housing	pets
30	1068	3801	2088	4995	2495
23	1218	2468	3452	4830	0
34	2586	2427	4400	10655	1187
23	975	1948	3132	4786	0
33	3330	5264	6561	5054	0
37	2957	5392	6475	4928	723
29	1223	4282	2066	5214	2531
49	7090	2867	2034	8525	228
48	6046	3180	2136	7836	303
34	715	4120	1952	5516	2139
30	1431	3952	1923	5226	3122
42	1451	4226	2116	11090	3828
34	3223	2847	4117	14162	631
24	3266	2597	2071	5462	459
24	654	2063	3456	4195	0
45	6182	3245	2082	9175	0
25	904	2170	2797	4614	549
31	1643	4286	2286	11392	2678
27	727	3732	1919	4895	2290
37	3267	5955	6051	5059	513
50	6045	2742	1956	9553	0
24	570	1999	2998	4498	874
37	3205	6549	6428	5740	993
24	881	2097	3377	5322	1094
43	1010	2122	3428	5371	3439
49	668	2115	3288	5204	3406
43	5797	2934	2035	9929	0
48	894	2096	2951	4259	2648
25	858	3871	1942	4906	2695
35	975	4199	2102	12401	2838
33	3285	3803	2118	5572	302
44	534	2013	2551	4674	3067
34	2999	6564	4609	5387	1170
29	747	3537	2064	4982	2251
35	3100	2730	3882	13025	323
40	569	3966	1983	11991	2379
46	961	2284	2438	4576	2569
46	1487	2036	2693	6058	3521
38	1414	4045	2002	11928	1987
50	1072	1911	3273	5074	2825
35	2756	3154	3928	17786	234
38	2940	3437	4251	13463	794
30	2698	2987	2015	5151	0
35	2874	3363	4067	14982	999
24	839	2078	3104	4877	1134
39	1198	4063	2015	11864	3422
32	3046	5886	6760	5013	0
39	3141	6459	6393	3652	833
55	1169	1855	2378	5325	2491
27	3669	3062	2072	5195	0
24	1059	2210	3071	5582	463
35	2805	3254	3865	12799	0
34	2797	6745	5597	5198	857
44	6684	2593	2030	9635	0
47	4645	2126	1934	10071	229
25	751	4211	2162	5005	2012
24	1192	1986	2655	4587	1343
37	2705	5121	5814	5459	835
35	2849	3037	3770	13615	558
26	2890	2869	1985	5174	597
33	2450	6855	5876	4948	773
47	973	1779	2618	4635	2830
27	2979	3116	1912	5113	510
34	2702	6255	8037	4679	841
50	971	2193	3050	5050	3494
35	2836	6020	6416	4974	836
37	3439	2987	3371	15232	0
51	1256	2004	2998	4855	2044
34	1043	4508	1919	10877	1940
35	2557	2461	4439	12710	294
48	7012	2460	1957	9025	0
29	2956	2924	4012	10650	0
39	2843	6381	6080	4153	1127
35	2860	3043	3998	13301	259
35	954	4239	1841	11841	2421
47	6064	3266	2183	8923	0
50	5844	3037	1754	9891	0
28	943	3963	1980	4749	1974
41	1127	4325	2144	12057	2534
42	928	2353	3001	4917	2788
51	899	1997	2833	5330	2395
37	3194	2951	3986	16323	0
35	3227	2276	4024	14063	441
33	1219	4512	2140	5128	2322
49	6300	3085	2143	8526	308
26	3418	2964	1980	5225	0
45	5542	3575	1876	9550	0
33	432	4650	2183	12238	2172
35	1112	4197	1989	4988	2582
37	3336	2729	4126	17469	1067
24	3203	2754	1900	4579	0
37	2760	5876	6627	4604	422
46	5496	2951	1924	9502	230
38	934	4261	2287	13107	1805
35	1038	4176	1969	12624	1583
45	900	1876	3334	5096	3592
25	2970	3600	2151	5640	941
37	3035	6266	6099	5373	0
32	1360	4017	2020	4112	2372
52	768	1815	2955	4740	3855
35	1075	4463	2030	12603	3407
37	1133	4216	2020	11306	2753
27	2697	3119	1954	5177	894
24	3179	3517	2055	5137	745
34	3798	3109	3381	12756	865
27	3302	3353	1995	5029	0
29	2824	3082	2027	4835	266
23	972	1896	3210	4634	472
46	719	2391	2742	5177	2103
42	1019	4263	1810	11857	2391
48	5275	2628	1845	7692	0
37	2678	6579	7824	5243	1405
27	3361	2978	1964	5238	543
38	430	3844	1982	11975	2040
48	901	2043	2396	4602	2845
48	5529	2811	1958	7653	0
28	3332	2165	2021	4243	1302
32	760	4062	2027	11139	2363
34	3242	2761	4379	15699	399
34	3128	5544	5611	4160	489
41	1595	3987	1805	12065	3218
46	1086	1749	2496	4843	3129
34	2739	6727	6584	5132	340
31	2712	3579	2190	4716	1072
32	2585	6326	5617	5228	308
22	1234	1965	3202	5685	304
34	2993	3024	3840	17459	454
25	2614	3089	2041	4876	885
34	913	4116	2021	12401	1938
35	1466	3803	2106	5488	902
34	3557	6079	6179	4908	1453
45	5325	3407	2003	11910	216
26	1515	4258	2021	4941	2446
48	1193	1735	3132	4865	3080
25	932	1978	3163	4849	945
29	411	3504	2059	5179	1979
50	945	1833	3101	4905	3277
33	2867	6160	7752	4594	867
31	1130	3237	1959	11670	2895
45	5708	2946	2030	9793	0
30	1210	4043	1912	12321	2822
38	3041	2911	4257	13269	518
30	2940	2719	1844	5049	0
49	930	1867	2921	5198	2626
26	3305	2672	2083	4914	838
38	1103	3932	1965	11735	1823
27	834	4088	2072	5190	2718
53	1098	2039	3193	5117	2566
51	5084	3300	2167	12017	301
38	2992	5532	5798	5191	1315
48	783	1883	2217	5241	3161
27	2884	3315	1977	4938	208
39	3356	3236	4238	14301	0
36	2992	2365	3715	15047	0
40	1080	3569	2009	12315	2692
25	2882	2971	1992	4895	995
36	2993	3360	4069	12994	544
51	6366	3261	1900	10503	0
35	614	3655	1804	13541	2662
24	840	2007	2761	5190	230
50	5261	3265	1928	8893	0
23	1073	1967	3042	5402	292
31	3551	2867	4259	13438	1470
34	2714	6785	7202	5289	2146
43	1032	2050	3424	4738	2599
26	1301	2111	2362	5223	0
52	963	1717	2871	5204	3078
36	791	4011	2147	11910	3110
35	3558	2733	4525	12963	760
36	2752	6376	6468	4740	355
29	832	4405	2222	5806	1707
42	1027	1878	3517	5432	2016
53	5269	2998	2062	10398	0
36	3126	5257	5484	6372	0
47	1093	2088	3651	5331	2832
26	857	1739	3626	5238	433
33	2358	6452	7111	4992	1157
48	1351	2038	3020	5580	2835
33	3298	5444	6664	4730	0
51	6294	3527	1800	10973	0
23	645	2150	3803	5289	599
31	3297	2818	4043	16775	0
24	1238	1894	3390	4720	535
51	6293	2963	2117	11471	207
36	620	3611	2101	12405	2541
28	476	4159	2093	5491	2337
26	1216	2020	2321	4956	542
48	848	2115	3421	5152	2689
48	1203	1993	2688	4995	3382
35	2795	6603	6539	5316	666
37	2957	3085	3967	10881	660
23	1346	2153	2957	4842	0
34	2610	6973	4995	4900	1486
27	2575	2172	2038	5029	637
29	1412	3668	1936	11988	2209
27	897	4020	2078	5160	2586
50	1001	2000	3556	4842	2895
45	870	2249	2937	4736	2874
27	3178	5969	5298	3802	0
31	3012	5947	6180	5299	467
34	3350	5994	6301	4440	0
51	6691	2672	2039	10226	0
26	2711	3435	2023	5184	0
22	1269	1970	3147	4884	275
24	1204	2341	2486	5090	0
21	825	2305	3359	5106	311
34	3136	2567	3865	10871	433
22	1098	1946	3095	5207	1006
35	2668	2826	4329	11731	657
29	1108	4416	1822	6205	2511
47	1057	2325	2645	4822	3160
33	3310	6948	4960	5504	937
24	3192	3283	2027	4958	1246
32	3795	2529	3522	17048	941
31	1063	3907	1924	11807	2862
25	1140	1662	3378	4740	865
36	889	3904	1969	12235	2248
25	1261	2273	2482	4903	0
33	3211	3323	3760	10740	338
35	2796	2932	4189	16848	1256
31	1476	4318	2131	5286	2836
25	2902	2579	2204	5598	0
50	6146	2308	1960	8755	0
34	3153	6679	5786	3907	703
47	5562	2675	2057	10287	0
29	3244	2629	3961	12525	859
32	3294	6722	6590	5763	659
32	965	3860	1972	12825	2946
29	1313	4126	1946	5603	2524
24	1192	2461	3762	5034	627
23	1153	4560	2002	5481	2569
31	156	3892	2033	4096	3068
35	3369	5681	6231	4807	532
38	2907	4979	4905	5609	697
23	2885	2867	2008	4857	617
54	5397	2755	1874	12172	200
24	636	2185	3778	4747	0
35	2933	3417	4174	14339	409
46	975	2094	3185	4760	3814
52	1141	2013	2515	4980	2705
35	3053	3369	4132	13934	0
26	1047	3978	2108	4829	2770
46	6434	3297	2065	9756	0
31	3280	2924	4218	18500	677
33	880	3566	1881	5388	2096
36	907	4161	2058	11251	3113
36	2752	3209	3901	12935	573
32	1110	3798	1925	4221	2636
38	926	3882	2065	5185	2903
34	2806	3127	2071	4997	650
35	2996	5422	7227	4589	0
27	982	3733	2065	13954	2792
35	3225	3338	4044	14046	863
37	855	4136	1972	5756	2269
26	3105	5567	5876	4684	1046
24	1080	2133	3112	4744	0
53	929	2093	1897	4812	2440
29	2712	2794	1865	4490	890
24	844	1902	3214	4715	1774
27	2434	2633	1899	5368	380
53	6856	3611	2085	9475	367
23	2946	2813	2076	4898	0
52	5838	2655	2053	10040	0
48	1301	1742	3190	5504	3215
29	3124	6333	6613	4813	1031
25	929	3930	2152	4683	1654
21	1246	3879	2258	4707	2531
49	727	1830	2686	4985	3145
36	3018	6100	4653	4908	1174
34	2835	2825	3674	14462	425
24	980	2413	3344	4904	1055
48	5617	3120	1780	10166	0
47	6366	2897	2066	10285	208
34	1326	4298	2139	12072	1826
48	6284	2699	2035	9417	212
24	843	1923	2576	4767	1089
35	481	4049	2030	12113	2468
30	1415	4124	1993	12335	2335
35	2860	6403	6222	4903	840
26	924	2066	3473	5603	1212
48	1221	1888	2692	5079	3534
31	1342	3827	2063	4760	2498
24	1024	2175	3234	4970	289
34	779	4174	2042	11971	2270
28	2931	3114	1847	4937	0
36	843	3933	1926	11658	1570
26	822	1821	3254	4103	600
52	6229	2893	2243	8937	211
28	3012	2442	1993	5445	403
39	2712	3266	3825	17617	0
23	1189	1880	3533	5179	737
40	3219	2657	4165	16078	632
28	3277	3267	1965	5105	308
30	2674	2650	1849	5271	778
32	1062	4209	2034	11615	2554
25	1129	2432	3223	4803	0
25	978	1612	2844	5038	1148
40	1149	3776	1843	13375	2090
39	3040	2979	3682	15203	0
35	2785	3380	3848	13158	768
29	843	4058	1915	5378	2703
25	995	2029	2531	4995	993
23	1280	1625	2605	4641	898
35	1014	3222	2004	12040	2424
23	1282	1994	2917	4840	1427
27	1179	4047	1977	5053	3139
37	1410	4229	1927	12653	1658
44	5873	2398	2107	9642	0
21	1021	1688	3147	5273	1704
27	2485	3306	2030	5172	461
34	1259	3578	1902	11893	2180
35	2613	2973	4145	14305	680
23	971	1875	3234	4535	0
35	2870	6013	5868	5006	0
35	1480	4378	2042	11528	2735
28	3049	3618	1996	4275	376
33	3000	3075	3917	15177	1016
37	3323	3187	4486	12464	681
18	993	2251	3032	4702	726
34	2849	3185	3725	13115	329
48	1224	2306	2968	4836	3367
38	2755	4845	5389	5577	703
38	668	3970	2124	11926	2393
47	980	1874	3911	5425	3518
24	701	1866	3086	5674	0
50	6369	3446	2034	10820	252
25	719	2522	3653	5170	798
34	3742	3305	3853	15993	505
25	2857	2843	1964	5326	1010
43	5311	3315	1948	11514	305
48	5655	2659	1924	10883	0
47	913	2001	2966	5846	2972
40	1090	4357	2075	12425	2412
34	2855	7069	6486	4960	404
29	1111	3493	1965	5142	3194
21	998	2088	2514	5203	0
48	987	1778	2507	5256	2738
24	968	2188	2553	5148	340
22	739	2160	3403	5453	0
29	3120	5616	6069	4723	0
48	920	1809	2045	5418	2961
35	2948	5440	5814	4987	352
55	877	1862	2803	5199	2683
27	3086	3322	1953	4740	780
29	706	3790	2051	12289	1793
34	1070	4421	2142	5215	2711
33	2999	5806	4681	4638	903
40	5941	2576	1846	9729	0
26	1207	4244	1863	12641	1434
30	2705	2988	1863	5282	0
36	743	3704	2110	5171	2384
41	1311	2282	3234	5076	2331
24	1068	1905	2624	4857	0
37	990	4222	2128	11970	2564
46	6161	3269	2088	11546	321
25	2991	2928	2041	4923	295
44	1561	2172	2827	5425	2959
32	2837	3134	3917	17149	0
38	1247	4353	1855	11596	1840
26	827	2213	3375	5484	383
42	1182	1855	2930	4661	3563
33	3533	6700	5017	5184	599
34	2945	2853	4132	14956	581
36	2757	2852	3832	13578	0
24	1365	2062	2456	4814	778
26	1146	2564	2648	5658	283
21	1214	2006	3834	4036	1249
23	1183	4239	1988	5096	1429
27	665	4159	1972	4956	3093
41	5380	2905	1828	8864	279
39	2979	2583	3651	17101	295
25	998	2088	3227	5313	1669
51	6307	3345	2108	10469	0
26	2926	3639	2019	5168	208
30	335	4117	1854	4987	2445
25	1054	2220	3346	5309	269
34	2814	3230	4580	17742	941
35	3212	2835	3840	14219	0
33	2621	5868	5873	5302	1274
27	2744	2849	1838	4614	1003
34	522	3517	2037	5047	2413
41	1519	3644	1992	13400	3019
48	6301	2972	1887	11914	257
23	1143	1807	3142	5665	1047
28	3245	2779	2044	4405	1315
53	5571	1938	1967	10533	248
25	740	1879	2260	5250	764
28	1362	3737	2055	10577	2808
32	1200	4209	1778	11852	2641
30	1528	4185	2008	4925	2273
24	1220	2531	3228	4867	766
50	5686	2886	2096	9961	240
38	3091	6008	6608	5044	595
